id,品項名稱,售價,一份(g),蛋白質(g),脂肪(g),醣類(g),熱量(大卡)
1,岩燒蜂蜜蛋糕,80,100,8.1,21.4,18.6,299.4
2,法式千層,65,100,8,22,18.4,305
3,草莓芒果提娜,65,100,4.8,15.4,5.9,181.4
4,莓麗甜心,65,100,8.2,21.8,20.5,329.9
5,藍莓芝士,62,100,7.6,19.4,18.6,297.7
6,蘋果甜星,60,100,4.2,22.1,20.5,229.5
7,愛戀草莓,58,100,5.6,20.5,22.2,295.6
8,巧克豬,55,100,7.2,21.4,22.2,310.2
9,幸運草,55,100,4.2,10.7,21.8,215.5
10,波波豬,55,100,8.1,18.5,21.8,282.2
11,草莓蒙布朗,55,100,3.8,13.4,1,139.8
12,蛋乳酪,55,100,4.2,14.9,18.5,156.8
13,貴族熊,55,100,4.7,21,7.3,308.1
14,濃情金沙,55,100,5.7,26,24,353
15,小鮮肉,55,100,6.5,20.5,22.2,299
16,黑森林,52,100,6.7,26,23,353.6
17,波士頓提拉米蘇,50,100,5.1,20.8,4.8,226.8
18,皇家黑爵士,50,100,5.2,20.8,6.2,232.8
19,提拉米蘇,50,100,5.3,18.8,3.7,205.2
20,芋泥起酥泡芙,49,100,6.5,17.4,20.5,265
21,香草巧克力慕斯,48,100,7.8,15.5,20.5,253
22,白雪拿破崙,45,100,5.6,23.9,4.2,506.3
23,草莓波士頓,45,100,6.5,17.4,20.5,264.1
24,黑夜拿破崙,45,100,10,30.7,35.1,456.7
25,暗黑森林,45,100,8.1,24.6,21.2,338.2
26,天使雪莓,42,100,5.3,6.4,6.3,224.3
27,特級波士頓,42,100,5.5,17.4,19.7,241.2
28,藍莓大理石,42,100,7.2,20.4,21.2,297.7
29,魔鬼蛋糕,42,100,4.8,26.6,23.2,351.1
30,紅豆草莓大福,40,100,7.9,14.8,20.2,247.4
31,特濃原味起司,40,100,4.2,17.9,21.2,265
32,黑糖芋頭大福,40,100,8,20.4,21.2,300.4
33,巧克力富士山,55,100,18.3,30.2,52.3,554.3
34,蔓越莓餅乾,49,100,17.6,28.5,62.2,576
35,手撕包,45,88,11,16.2,25.5,332.4
36,高纖核果,45,150,21.6,35.2,62.2,652.3
37,高纖雜糧,45,150,24.7,33.5,68.9,675.9
38,奶油巧克力小餐包,45,55,6,10.2,24.8,215
39,蝴蝶酥,45,100,6.9,7.2,15.9,156.2
40,檸檬吐司,42,100,10.2,16.2,39.9,346
41,蘋果乳酪丹麥,38,100,11.4,16.2,39.9,342.9
42,波羅牛角,35,75,9.1,16.5,42.8,356
43,丹麥奶酥波蘿,32,75,6.2,16.5,36.45,319.1
44,青蔥丹麥,32,75,6.2,16.5,48.3,366.3
45,起酥肉鬆,32,75,6.1,18.2,18.5,262
46,蒜味起司厚片,30,75,9.2,20.2,87.6,569.4
47,鮮奶黃金厚片,28,75,10.2,21.2,46.2,416.4
48,香蒜吐司條,28,75,14.8,30.7,67,602.3
49,丹麥波羅,28,75,6.9,16.2,58.7,408.1
50,楓糖方塊,28,75,5.8,14.9,76.5,463.1
51,葡式蛋塔,25,55,9.2,18.6,24.7,303.2
52,香脆酥奶油,25,55,10.1,20.5,41.1,389.2
53,小可頌,12,35,2.5,3.8,19.9,123.7
54,焦糖瑪奇朵,80,480,15.2,19.2,26.8,340.6
55,拿鐵咖啡,75,480,15.2,19.2,20.4,315.3
56,重拿鐵咖啡,75,480,15.2,20.2,20.3,323.1
57,卡布奇諾,70,480,14.5,18.2,17.2,290.6
58,摩卡咖啡,70,480,16.8,30.6,35.2,483.5
59,特濃招牌咖啡,70,480,16.8,30.6,30.2,463.2
60,招牌咖啡,65,480,15.8,25.2,11.3,335.1
61,海岩咖啡,60,480,0,19.2,20.8,255.8
62,美式咖啡,55,480,0,1.3,3.7,26.4
63,芋頭鮮奶,65,660,16,16.9,46.5,402.1
64,布丁鮮奶茶,60,660,2.2,28.5,52.1,473.8
65,黑糖珍珠鮮奶,60,660,12.5,13.5,46.5,357.5
66,巧克力牛奶,55,660,2.2,28.5,71.7,552
67,花青素草莓歐蕾,55,660,1.1,9.8,34.4,221.5
68,芋頭奶綠,55,660,16,16.9,46.5,402.1
69,鮮奶茶,45,660,12.5,13.5,32,299.6
70,布丁奶茶,45,660,2.2,20.2,70.8,473.8
71,黑糖珍珠奶茶,45,660,1.2,20.2,162.1,834.8
72,英式奶茶,35,660,1.2,19.8,64.5,441.4
