id,«~¶µ¦WºÙ,°â»ù,"¤@¥÷
(g)","³J¥Õ½è
(g)","¯×ªÕ
(g)","ÁÞÃþ
(g)","¼ö¶q
(¤j¥d)"
1,ªüÂÄ©i¥¤¯ù,35,640,2.64,20.46,71.94,482.46
2,¬Ã¯]¥¤¯ù,40,640,2.25,17.42,112.36,616.34
3,¥P¯ó­á¥¤¯ù,40,640,1.98,15.31,73.91,442.03
4,¥¤¯ù¤T¥S§Ì,45,640,1.58,12.57,104.2,537.78
5,¥¬¤B¥¤¯ù,40,640,2.47,19.84,80.18,509.27
6,­[­»¥¤¯ù,40,640,2.58,18.66,74.02,474.34
7,¦è¨¦¦Ì¥¤¯ù,40,640,2.25,17.42,115.58,652.44
8,¬õ¨§¥¤¯ù,45,640,8.3,13.97,96.63,545.39
9,¾J«~ºñ¯ù,25,640,0,0,38.5,154
10,²ø¶é¬õ¯ù,30,640,0,0,29.26,117.04
11,¥xÆW¥]ºØ¯ù,30,640,0,0,38.5,154
12,ëL³Á¥]ºØ¯ù,35,640,0,0,38.5,154
13,ÂfÂc¥]ºØ¯ù,40,640,0,0,75.46,301.84
14,«n«D°êÄ_¯ù,25,640,0,0,38.5,154
15,ºñ¯ù¾i¼Ö¦h,50,640,2.4,0,70.7,298
16,ÂfÂc¾i¼Ö¦h,55,640,2.55,0.03,100.88,419.59
17,¨~ªG¾i¼Ö¦h,60,640,2.46,0,82.16,344.08
18,¥V¥Ê¦è¨¦¦Ì,40,640,0,0,95.12,377.82
19,ÂfÂc¥V¥ÊÅS,40,640,0,0,60.82,243.28
20,¾JÆC¥V¥ÊÅS,35,640,0,0,61.2,244.8
21,ëL³Á¥V¥ÊÅS,40,640,0,0,51.58,206.32
22,¬õ¨§¤û¥¤,60,460,13.84,9.25,67.66,409.25
23,¬õ¨§ÂA¥¤¯ù,55,640,12.23,6.48,77.49,417.12
24,¬õ¨§¬Ã¯]ÂA¥¤¯ù,55,640,9,6.48,82.81,426.24
25,²ùªGÅÊ¤H,60,460,6.13,6.48,63.78,337.94
26,ªk¦¡¥¤Á÷¬õ¯ù,50,640,1.37,20.37,36.82,376.39
27,ªk¦¡¥¤Á÷ºñ¯ù,50,640,1.37,20.37,46.06,413.35
28,­^¦¡ÂA¥¤¯ù,45,460,5.78,6.48,34.76,220.4
29,¬Ã¯]ÂA¥¤¯ù,55,640,5.78,6.48,100.46,484.64
30,¤û¥¤¤T¥S§Ì,65,460,5.88,7.58,83.23,426.11
31,«n«D°êÄ_ÂA¥¤¯ù,50,640,5.78,6.48,34.76,220.4
32,©ÛµP©@°Ø,35,640,4.22,15.05,73.41,445.95
33,¥V¥ÊÂA¥¤¯ù,50,460,5.78,6.48,39.18,238.08
34,²ùªG¬£¹ï,50,640,0.45,0,70.16,282.45
35,¦Ê­»ºñ¯ù,30,640,0,0,85.33,341.32
36,ÂAÂfÂcºñ¯ù,40,640,0.12,0.02,77.43,310.41
37,ÂAÂfÂc¬õ¯ù,40,640,0.12,0.02,68.19,273.45
38,«n«D°êÄ_ÂfÂc¯ù,40,640,0.15,0.03,77.92,312.55
39,ª÷®ÜÂfÂc,50,640,0.27,0.08,62.33,250.03
