id,品項名稱,售價,一份(g),蛋白質(g),脂肪(g),醣類(g),熱量(大卡)
1,古早味大滷腿,85,720,61.52,20.52,92.16,799.4
2,招牌雞腿,85,790,70.02,27.52,92.46,897.6
3,椒麻雞腿,85,790,70.02,27.52,92.46,897.6
4,香酥雞排飯,80,610,35.6,20.4,91.9,693.6
5,油雞飯,70,720,61.52,20.52,92.16,799.4
6,人蔘滷雞腿,65,595,31.7,26.3,91.7,730.3
7,卡拉雞腿飯,60,590,31.6,26.2,91.6,728.6
8,無骨雞排飯,55,540,27.1,13.4,91.6,595.4
9,日式厚切豬排,85,560,33,18.9,91.6,668.5
10,排骨飯,70,520,25.3,13,91.6,584.6
11,古早味滷排骨,70,520,25.3,13,91.6,584.6
12,三拼飯,70,540,24.4,17.1,102.8,662.7
13,鹹豬肉,70,610,35.5,47.8,89.9,923.9
14,糖醋排骨,70,690,60.3,17.9,89.9,760.3
15,酥炸豚雪花,65,520,23.5,17.2,93.6,623.2
16,蒜泥白肉飯,65,520,23.5,17.2,93.6,623.2
17,香腸飯,60,500,20.2,16.4,99.6,626.8
18,清蒸鮮魚飯,70,540,24.5,3.7,95.5,513.3
19,土魠魚塊飯,65,520,24.5,3.7,95.5,513.3
20,香酥魚排飯,65,770,52.5,8.1,89.9,638.3
21,蝦捲飯,60,520,18.2,5.8,104.5,542.8
22,飯菜盒子,45,440,10,1.2,91.6,417.2
