id,«~¶µ¦WºÙ,°â»ù,"¤@¥÷
(g)","³J¥Õ½è
(g)","¯×ªÕ
(g)","ÁÞÃþ
(g)","¼ö¶q
(¤j¥d)"
1,³b°©©ÔÄÑ,80,245,15.395,3.84,74.06,387.7
2,³b°©¯QÀs,80,245,9.295,3.44,39.66,221.7
3,¨ýäø©ÔÄÑ,80,245,15.395,3.84,74.06,387.7
4,¨ýäø¯QÀs,80,245,9.295,3.44,39.66,221.7
5,©@­ù©ÔÄÑ,75,245,15.395,3.84,74.06,387.7
6,©@­ù¯QÀs,75,245,9.295,3.44,39.66,221.7
7,³Â»¶©ÔÄÑ,80,245,15.395,3.84,74.06,387.7
8,³Â»¶¯QÀs,80,245,9.295,3.44,39.66,221.7
9,ªwµæ©ÔÄÑ,80,265,15.795,3.92,75.22,394.7
10,ªwµæ¯QÀs,90,265,9.695,3.52,40.82,228.7
11,¨F¯ù½Þ¦×Áç¿N,80,463,33.395,30.63,27.91,542.82
12,¨F¯ù¤û¦×Áç¿N,90,463,34.955,26.97,27.91,515.82
13,¨F¯ù®üÂAÁç¿N,85,443,29.415,15.99,28.65,393.22
14,¨F¯ùÀn¦åÁç¿N,80,553,32.495,16.2,27.91,409.32
15,¨F¯ù¯ä¨§»GÁç,80,453,29.945,19,30.16,429.82
16,¨F¯ùÂA³½¤ùÁç,80,503,41.695,19.35,30.41,475.82
17,³Â»¶½Þ¦×Áç¿N,80,463,33.395,30.63,27.91,542.82
18,³Â»¶¤û¦×Áç¿N,95,463,34.955,26.97,27.91,515.82
19,³Â»¶®üÂAÁç¿N,90,443,29.415,15.99,28.65,393.22
20,³Â»¶¯ä¨§»GÁç,85,453,29.945,19,30.16,429.82
21,³Â»¶Àn¦åÁç¿N,80,553,32.495,16.2,27.91,409.32
22,³Â»¶ÂA³½¤ùÁç,90,503,41.695,19.35,30.41,475.82
23,³b°©½Þ¦×Áç¿N,85,463,33.395,30.63,27.91,542.82
24,³b°©¤û¦×Áç¿N,95,463,34.955,26.97,27.91,515.82
25,³b°©®üÂAÁç¿N,90,443,29.415,15.99,28.65,393.22
26,³b°©ÂA³½¤ùÁç,90,503,41.695,19.35,30.41,475.82
27,¨ýäø½Þ¦×Áç¿N,85,463,33.395,30.63,27.91,542.82
28,¨ýäø¤û¦×Áç¿N,95,463,34.955,26.97,27.91,515.82
29,¨ýäø®üÂAÁç¿N,90,443,29.415,15.99,28.65,393.22
30,¨ýäøÂA³½¤ùÁç,90,503,41.695,19.35,30.41,475.82
31,©@­ù½Þ¦×Áç¿N,80,463,33.395,30.63,27.91,542.82
32,©@­ù¤û¦×Áç¿N,95,463,34.955,26.97,27.91,515.82
33,©@­ù®üÂAÁç¿N,90,443,29.415,15.99,28.65,393.22
34,©@­ùÂA³½¤ùÁç,80,503,41.695,19.35,30.41,475.82
35,¾i¥Í½Þ¦×Áç¿N,80,473,34.495,30.63,34.51,573.82
36,¾i¥Í¤û¦×Áç¿N,90,473,36.055,26.97,34.51,546.82
37,¾i¥Í®üÂAÁç¿N,85,453,30.515,15.99,35.25,424.22
38,¾i¥ÍÂA³½¤ùÁç,80,513,42.795,19.35,37.01,506.82
39,¾i¥ÍÀn¦åÁç¿N,80,563,33.595,16.2,34.51,440.32
40,ªwµæ½Þ¦×Áç¿N,90,483,33.795,30.71,29.07,549.82
41,ªwµæ¤û¦×Áç¿N,95,483,35.355,27.05,29.07,522.82
42,ªwµæ®üÂAÁç¿N,90,463,29.815,16.07,29.81,400.22
43,ªwµæÂA³½¤ùÁç,90,523,42.095,19.43,31.57,482.82
44,¿»­XÁç¿N,85,503,24.295,15.85,32.01,384.82
45,Û£Û£Áç¿N,85,503,26.145,16,35.66,397.32
46,½­­¹Áç¿N,85,453,24.795,15.9,31.51,384.32
47,¤é¦¡³bÉd,80,570,29.1,30.61,93.9,777
48,¤é¦¡¤ûÉd,90,570,32.22,23.29,93.9,723
49,¤é¦¡½Þ±ÆÉd,95,570,28.14,10.81,97.26,601.44
50,°_¥q½Þ±ÆÉd,95,583,30.44,14.21,97.66,642.54
51,ªwµæ½Þ¦×Éd,80,590,29.5,30.69,95.06,784
52,ªwµæ¤û¦×Éd,90,590,32.62,23.37,95.06,730
53,³JÉd,50,550,21.8,9.65,95.7,557
54,®õ¦¡½Þ¦×¶º,75,650,40.3,42.45,94.8,932.5
55,®õ¦¡½Þ±Æ¶º,85,620,34.39,15.21,98.15,668.4
56,®õ¦¡³½±Æ¶º,75,600,24.55,6.25,113.8,615
57,¤é¦¡·Ó¿N½Þ±Æ,75,620,34.39,15.21,98.16,668.44
58,»e¥Ä¬µÂû»L¶º,75,680,47.45,33.25,94.8,869.6
