id,品項名稱,售價,一份(g),蛋白質(g),脂肪(g),醣類(g),熱量(大卡)
1,鐵板麵,70,353,19.8,11.6,83.3,511
2,豬肉鐵板,85,443,36.7,24.2,83.3,692
3,牛肉鐵板,85,443,38.1,14.9,83.3,613.9
4,雞腿鐵板,99,683,74.6,48.9,83.3,1065.9
5,豬排鐵板,99,453,44.9,22.5,83.5,710.3
6,魚排鐵板,99,463,41.6,15.3,84,634.3
7,咖哩雞腿飯,90,610,61.7,40.4,74.8,908.6
8,咖哩豬排飯,90,380,23.5,14.4,74.8,521.8
9,咖哩魚排飯,90,395,32,14,75,479.8
10,咖哩鮮菇飯,85,393,7.2,3.2,80.3,377.8
11,咖哩牛肉飯,80,370,25.2,6.4,74.8,456.6
12,咖哩豬肉飯,80,370,23.8,15.7,74.8,534.7
13,蘑菇燻雞焗烤飯,99,448,56.8,39.4,105.8,980.4
14,蘑菇燻雞焗烤貝殼/通心麵,99,318,62.7,40.2,97.5,969.2
15,香煎培根焗烤飯,99,418,48.3,60.6,108.8,1160.2
16,香煎培根焗烤貝殼/通心麵,99,288,54.2,61.4,100.5,1149
17,泡菜牛肉焗烤飯,99,498,54.9,45.6,103.5,1035.2
18,泡菜牛肉焗烤貝殼/通心麵,99,368,60.8,46.4,95.2,1024
19,洋蔥鮪魚焗烤飯,99,468,44.8,50.7,108.6,1053.2
20,洋蔥鮪魚焗烤貝殼/通心麵,99,338,50.7,51.5,100.3,1042
21,夏威夷焗烤飯,99,448,52,31.1,130.9,990.2
22,夏威夷焗烤貝殼/通心麵,99,318,57.9,31.9,122.6,979
23,泰式海鮮酸辣粉,99,184,24.9,4,45.5,296.8
24,泡菜海鮮意麵,90,307,39,23,50,529
25,泡菜海鮮烏龍麵,90,397,37,10,56,432
