id,«~¶µ¦WºÙ,°â»ù,"¤@¥÷
(g)","³J¥Õ½è
(g)","¯×ªÕ
(g)","ÁÞÃþ
(g)","¼ö¶q
(¤j¥d)"
1,ÂC³½³ù,30,216,26.692,24.627,42.019,494.81
2,°ö®Ú³ù,30,176,16.367,18.487,42.019,429.26
3,½Þ¦×³ù,35,188,17.562,25.217,42.019,452.26
4,­»Âû±Æ³ù,35,197,18.276,21.019,48.643,454.93
5,¨½¦Ù½Þ±Æ³ù,40,211,21.772,17.007,47.059,426.71
6,ÂfÂcÂû³ù,40,205,20.836,23.559,49.525,491.99
7,«p¤Á»¶¨ýÂû»L±Æ³ù,40,213,20.362,22.357,47.079,469.26
8,¥d©ÔÂû»L³ù,45,277,27.602,39.437,66.339,728.51
9,¯N¤õ»L¦R¥q,20,178,15.85,13.73,52.46,395.3
10,¯N¦×ÃP¦R¥q,20,166,17.754,16.51,52.28,427.14
11,¯NÂC³½¦R¥q,25,211,27.194,23.23,40.72,290.2
12,¯N°ö®Ú¦R¥q,30,171,16.869,17.09,40.72,413.89
13,¯N­»Âû±Æ¦R¥q,30,192,18.778,19.622,47.344,439.56
14,¯N¨½¦Ù½Þ±Æ¤g¥q,40,206,22.274,15.61,45.76,411.34
15,¯NÂfÂcÂû¦R¥q,40,200,21.338,22.162,48.226,476.62
16,¯N«p¤Á»¶¨ýÂû»L±Æ¤g¥q,40,208,20.864,20.96,45.78,453.89
17,¯N¥d©ÔÂû»L¦R¥q,45,272,28.104,38.04,65.04,713.14
18,¯NÁ`¶×¤T©úªv,50,294,27.634,28.199,85.493,692.98
19,¯N¤ôªGÁ`½­µæ¤T©úªv,50,257.5,15.447,14.455,74.862,490.31
20,¥©§J¤OÁ¡¤ù,15,86,8.074,5.46,42.71,252.24
21,ªá¥ÍÁ¡¤ù,15,86,9.574,5.06,41.61,250.24
22,¯ó²ùÁ¡¤ù,15,86,7.524,0.61,43.96,212.54
23,·¦­»Á¡¤ù,15,86,7.824,7.21,41.41,261.74
24,­»»[Á¡¤ù,15,86,7.774,8.71,39.41,266.74
25,¥¤ªoÁ¡¤ù,15,86,7.524,8.71,38.66,262.94
26,¥©§J¤O«p,25,82,71.83,5.426,40.68,242.28
27,ªá¥Í«p¤ù,25,82,73.33,5.026,39.58,240.28
28,¯ó²ù«p¤ù,25,82,71.28,0.576,41.93,202.58
29,·¦­»«p¤ù,25,82,71.58,7.176,39.38,251.78
30,­»»[«p¤ù,25,82,71.53,8.676,37.38,256.78
31,¥¤ªo«p¤ù,25,82,71.28,8.676,36.63,252.98
32,³J»æ,20,113.5,10.55,6,25,194.9
33,¤õ»L³J»æ,25,145.5,12.406,6.64,36.74,255.06
34,¦×ÃP³J»æ,25,133.5,14.31,9.42,36.56,286.9
35,¥É¦Ì³J»æ,25,143.5,11.24,6.3,29.26,217.4
36,°ö®Ú³J»æ,30,138.5,13.425,10,25,273.65
37,°_¥q³J»æ,30,126.5,12.85,9.4,25.4,236
38,¼öª¯³J»æ,30,149.5,13.79,15.72,29.68,314.06
39,ÂC³½³J»æ,35,178.5,23.75,16.14,25,339.2
40,Á¦»æ³J»æ,35,178.5,11.55,10.5,41,304.9
41,¨½¦Ù½Þ±Æ,40,173.5,18.83,8.52,30.04,271.1
42,ÅÚ½³¿|,30,104,2.4,2.5,14.4,89
43,Âû¶ô,30,115,17.365,14.375,11.385,244.95
44,Á¦»æ,15,65,1,4.5,16,110
45,¼öª¯,15,54,4.86,14.58,7.02,178.74
46,ÂfÂcÂû¬h,40,108,14.69,18.145,15.012,282.96
47,¼w¦¡­»¸z,25,62,8.9,14.4,2.8,176
48,²ü¥]³J,10,50,6.25,4.4,0.9,67
49,¸q¤j§QÅK,40,270,17.3,36.8,71.9,726.8
50,¶Â­J´ÔÅK,40,280,10.7,4.7,61.1,330.6
51,¥É¦Ì¿@´ö,25,50,0.3,0.4,3,33.5
52,¼w¦¡­»¸z¼ç¸¥³ù,55,211,18.185,42.791,23.368,550.12
53,ÂC³½°_¥q¼ç¸¥³ù,55,227,24.785,41.931,20.968,559.52
54,°ö®Ú¤õ»L°_¥q¼ç¸¥³ù,55,219,16.316,36.431,32.708,554.13
55,ÂfÂcÂû¼ç¸¥³ù,55,203,16.629,37.463,28.074,515.6
56,ÂfÂcÂû¥Íµæ±²,55,148,12.003,12.406,33.035,291.9
57,¼w¦¡­»¸z¥Íµæ±²,55,156,13.559,17.734,28.329,326.42
58,°ö®Ú¤õ»L°_¥q¥Íµæ±²,55,193,16.159,16.446,45.175,393.16
59,½µ§ì»æ,30,140,7.7,9,40.2,273
60,½µ§ì»æ¥[³J,35,190,13.95,13.4,41.1,340
61,¤õ»L½µ§ì»æ,40,172,9.556,9.64,51.94,333.16
62,°_¥q½µ§ì»æ,40,153,10,12.4,40.6,314.1
63,¦×ÃP½µ§ì»æ,40,160,11.46,12.42,51.76,365
64,ÂC³½½µ§ì»æ,45,205,20.9,19.14,40.2,417.3
65,°ö®Ú½µ§ì»æ,45,165,10.575,13,40.2,351.75
66,¨½¦Ù½Þ±Æ½µ§ì»æ,50,200,15.98,11.52,45.24,349.2
67,¬õ¯ù,15,46.5,0,0,46.5,186
68,ºñ¯ù,15,46.5,0,0,46.5,186
69,¥¤¯ù,20,76.5,0.6,6.54,47.25,250.2
70,ºñ¥¤¯ù,20,76.5,0.6,6.54,47.25,250.2
71,¬h¾í­·¨ý,25,80,0.16,0,23.76,96
72,§ö¤¯¼ß,25,350,4.2,6.3,17.5,140
73,¤sÃÄíõ¤¯,25,350,5.2,6.3,21,157.5
74,«n¥Ê¨§¼ß,25,350,5.2,6.3,21,175
75,¬õ¨§íõ¤¯,25,350,5.2,6.3,21,175
76,¶ÂªÛ³Â¿P,20,350,3.8,7,17.5,227.5
77,¿P³Áíõ¤¯,20,350,5.2,6.3,21,175
