id,品項名稱,售價,"一份
(g)","蛋白質
(g)","脂肪
(g)","醣類
(g)","熱量
(大卡)"
1,鮪魚堡,30,216,26.692,24.627,42.019,494.81
2,培根堡,30,176,16.367,18.487,42.019,429.26
3,豬肉堡,35,188,17.562,25.217,42.019,452.26
4,香雞排堡,35,197,18.276,21.019,48.643,454.93
5,里肌豬排堡,40,211,21.772,17.007,47.059,426.71
6,檸檬雞堡,40,205,20.836,23.559,49.525,491.99
7,厚切辣味雞腿排堡,40,213,20.362,22.357,47.079,469.26
8,卡拉雞腿堡,45,277,27.602,39.437,66.339,728.51
9,烤火腿吐司,20,178,15.85,13.73,52.46,395.3
10,烤肉鬆吐司,20,166,17.754,16.51,52.28,427.14
11,烤鮪魚吐司,25,211,27.194,23.23,40.72,290.2
12,烤培根吐司,30,171,16.869,17.09,40.72,413.89
13,烤香雞排吐司,30,192,18.778,19.622,47.344,439.56
14,烤里肌豬排土司,40,206,22.274,15.61,45.76,411.34
15,烤檸檬雞吐司,40,200,21.338,22.162,48.226,476.62
16,烤厚切辣味雞腿排土司,40,208,20.864,20.96,45.78,453.89
17,烤卡拉雞腿吐司,45,272,28.104,38.04,65.04,713.14
18,烤總匯三明治,50,294,27.634,28.199,85.493,692.98
19,烤水果總蔬菜三明治,50,257.5,15.447,14.455,74.862,490.31
20,巧克力薄片,15,86,8.074,5.46,42.71,252.24
21,花生薄片,15,86,9.574,5.06,41.61,250.24
22,草莓薄片,15,86,7.524,0.61,43.96,212.54
23,椰香薄片,15,86,7.824,7.21,41.41,261.74
24,香蒜薄片,15,86,7.774,8.71,39.41,266.74
25,奶油薄片,15,86,7.524,8.71,38.66,262.94
26,巧克力厚,25,82,71.83,5.426,40.68,242.28
27,花生厚片,25,82,73.33,5.026,39.58,240.28
28,草莓厚片,25,82,71.28,0.576,41.93,202.58
29,椰香厚片,25,82,71.58,7.176,39.38,251.78
30,香蒜厚片,25,82,71.53,8.676,37.38,256.78
31,奶油厚片,25,82,71.28,8.676,36.63,252.98
32,蛋餅,20,113.5,10.55,6,25,194.9
33,火腿蛋餅,25,145.5,12.406,6.64,36.74,255.06
34,肉鬆蛋餅,25,133.5,14.31,9.42,36.56,286.9
35,玉米蛋餅,25,143.5,11.24,6.3,29.26,217.4
36,培根蛋餅,30,138.5,13.425,10,25,273.65
37,起司蛋餅,30,126.5,12.85,9.4,25.4,236
38,熱狗蛋餅,30,149.5,13.79,15.72,29.68,314.06
39,鮪魚蛋餅,35,178.5,23.75,16.14,25,339.2
40,薯餅蛋餅,35,178.5,11.55,10.5,41,304.9
41,里肌豬排,40,173.5,18.83,8.52,30.04,271.1
42,蘿蔔糕,30,104,2.4,2.5,14.4,89
43,雞塊,30,115,17.365,14.375,11.385,244.95
44,薯餅,15,65,1,4.5,16,110
45,熱狗,15,54,4.86,14.58,7.02,178.74
46,檸檬雞柳,40,108,14.69,18.145,15.012,282.96
47,德式香腸,25,62,8.9,14.4,2.8,176
48,荷包蛋,10,50,6.25,4.4,0.9,67
49,義大利鐵,40,270,17.3,36.8,71.9,726.8
50,黑胡椒鐵,40,280,10.7,4.7,61.1,330.6
51,玉米濃湯,25,50,0.3,0.4,3,33.5
52,德式香腸潛艇堡,55,211,18.185,42.791,23.368,550.12
53,鮪魚起司潛艇堡,55,227,24.785,41.931,20.968,559.52
54,培根火腿起司潛艇堡,55,219,16.316,36.431,32.708,554.13
55,檸檬雞潛艇堡,55,203,16.629,37.463,28.074,515.6
56,檸檬雞生菜捲,55,148,12.003,12.406,33.035,291.9
57,德式香腸生菜捲,55,156,13.559,17.734,28.329,326.42
58,培根火腿起司生菜捲,55,193,16.159,16.446,45.175,393.16
59,蔥抓餅,30,140,7.7,9,40.2,273
60,蔥抓餅加蛋,35,190,13.95,13.4,41.1,340
61,火腿蔥抓餅,40,172,9.556,9.64,51.94,333.16
62,起司蔥抓餅,40,153,10,12.4,40.6,314.1
63,肉鬆蔥抓餅,40,160,11.46,12.42,51.76,365
64,鮪魚蔥抓餅,45,205,20.9,19.14,40.2,417.3
65,培根蔥抓餅,45,165,10.575,13,40.2,351.75
66,里肌豬排蔥抓餅,50,200,15.98,11.52,45.24,349.2
67,紅茶,15,46.5,0,0,46.5,186
68,綠茶,15,46.5,0,0,46.5,186
69,奶茶,20,76.5,0.6,6.54,47.25,250.2
70,綠奶茶,20,76.5,0.6,6.54,47.25,250.2
71,柳橙風味,25,80,0.16,0,23.76,96
72,杏仁漿,25,350,4.2,6.3,17.5,140
73,山藥薏仁,25,350,5.2,6.3,21,157.5
74,南瓜豆漿,25,350,5.2,6.3,21,175
75,紅豆薏仁,25,350,5.2,6.3,21,175
76,黑芝麻燕,20,350,3.8,7,17.5,227.5
77,燕麥薏仁,20,350,5.2,6.3,21,175
