id,品項名稱,售價,一份(g),蛋白質 (g),脂肪(g),醣類(g),熱量(大卡)
1,里肌豬排鐵板麵(義大利)套餐,79,566,27.6,47.8,82.7,871.4
2,里肌豬排鐵板麵(黑胡椒)套餐,79,576,30.6,17.8,120.8,765.8
3,卡啦雞腿堡蛋套餐,75,688,34.1,49.2,136.2,1124
4,里肌豬排堡蛋套餐,75,622,28.3,26.8,117,822.4
5,豬肉漢堡蛋套餐,69,599,24.1,35,117.1,879.8
6,香雞排堡蛋套餐,69,608,24.8,30.8,117.1,844.8
7,德式香腸潛艇堡套餐,69,561,21.8,42.9,72.7,764.1
8,鮪魚起司潛艇堡套餐,69,577,28.3,41.6,70.2,768.4
9,培根火腿起司潛艇堡套餐,69,569,23.3,39.8,75.2,752.2
10,檸檬雞潛艇堡套餐,69,553,19.9,36.5,77.3,717.3
11,檸檬雞生菜捲套餐,69,497.5,17.9,18.8,87.6,591.2
12,德式香腸生菜捲套餐,69,505.5,19.8,25.2,83,638
13,培根火腿起司套餐,69,513.5,21.3,22.1,85.5,626.1
14,總匯三明治套餐,65,3250,36.1,41.8,134.9,1060.2
15,水果蔬菜總會三明治套餐,65,607,21.3,27.7,129.4,852.1
16,鐵板麵(義大利)＋蛋＋奶茶,60,506,19.3,45.3,77.6,795.3
17,鐵板麵(黑胡椒)套餐,60,516,22.3,15.3,115.7,689.7
18,玉米蛋餅套餐,59,594,37.1,30.6,101.7,830.6
19,烤鮪魚起司蛋套餐,55,537,26.9,28.3,97.6,752.7
20,蘿蔔糕＋蛋＋奶茶,55,735,25.7,25,124.2,824.6
21,烤火腿起司蛋吐司套餐,50,570,34.8,37.1,93.7,847.9
22,德式香腸潛艇堡,55,211,15.8,36.4,18.2,463.6
23,鮪魚起司潛艇堡,55,227,22.3,35.1,15.7,467.9
24,培根火腿起司潛艇堡,55,219,17.3,33.3,20.7,451.7
25,檸檬雞潛艇堡,55,203,13.9,30,22.8,416.8
26,檸檬雞生菜捲,55,147.5,11.9,12.3,33.1,290.7
27,德式香腸生菜捲,55,155.5,13.8,18.7,28.5,337.5
28,培根火腿起司生菜捲,55,163.5,15.3,15.6,31,325.6
29,卡啦雞堡,45,273,27,38.2,65.6,714.2
30,里肌豬排堡,40,207,21.2,15.8,46.4,412.6
31,檸檬雞堡,40,201,20.2,21.8,48.8,472.2
32,厚切辣味雞腿排堡,40,209,19.7,21.1,46.3,453.9
33,豬肉堡,35,184,17,24,46.5,470
34,香雞排堡,35,193,17.7,19.8,46.5,435
35,鮪魚堡,30,212,26.1,23.4,41.3,480.2
36,培根堡,30,172,15.8,20.3,42.4,415.5
37,四川麻辣豬肉堡,45,142,15,16,41.2,465
38,柳橙風味飲品,25,83,0.2,0,24.7,99.6
39,杏仁漿,25,350,4.2,6.3,1,140
40,山藥薏仁,25,350,5.2,6.3,1,157.5
41,南瓜豆漿,25,350,5.2,6.3,1,175
