運動,消耗熱量
慢走(4 公里/時),3.5
快走、健走(6.0 公里/時),5.5
下樓梯,3.2
上樓梯,8.4
慢跑(8 公里/時),8.2
快跑(12 公里/時),12.7
快跑(16 公里/時),16.8
騎腳踏車(一般速度，10 公里/時),4
騎腳踏車(快，20 公里/時),8.4
騎腳踏車(很快，30 公里/時),12.6
拖地,3.7
園藝,4.2
使用工具製造或修理(如水電工),5.3
耕種、牧場、漁業、林業,7.4
搬運重物,8.4
瑜珈,3
跳舞(慢)、元極舞,3.1
跳舞(快)、國際標準舞,5.3
飛盤,3.2
排球,3.6
保齡球,3.6
太極拳,4.2
乒乓球,4.2
棒壘球,4.7
高爾夫,5
溜直排輪,5.1
羽毛球,5.1
游泳(慢),6.3
游泳(較快),10
籃球(半場),6.3
籃球(全場),8.3
有氧舞蹈,6.8
網球,6.6
足球,7.7
跳繩(慢),8.4
跳繩(快),12.6
健康操,4
划獨木舟,3.4
高爾夫球,3.7
保齡球,4
划船,4.4
溜輪鞋,5.1
騎馬(小跑),5.1
溜冰刀(16 公里/時),5.9
爬岩(35 公尺/時),7
滑雪(16 公里/時),7.2
手球,8.8
拳擊,11.4
划船比賽,12.4
,
