id,品項名稱,售價,一份(g),蛋白質(g),脂肪(g),醣類(g),熱量(大卡)
1,木瓜牛奶,40,660,5.9,6.1,54.1,295
2,百香多多,30,660,23.2,1.2,70.9,387
3,金桔檸檬,30,660,0,0,73.4,294
4,西瓜汁,30,660,2.4,0.3,58.9,247
5,香蕉牛奶,40,660,7.1,6.1,33.6,218
6,愛玉冰檸,30,660,1.8,0.2,44.1,185
7,蜂蜜檸檬,30,660,0.1,0.1,52.3,211
8,蜂蜜蘆薈,35,660,0,0.1,56.6,227
9,綜合果汁,35,660,1.1,0.2,59.2,243
10,綠豆冰沙,30,660,9.2,0.4,60.9,284
11,綠豆沙牛奶,40,660,14.5,6.4,68.1,388
12,薏仁燕麥牛奶,40,660,10.5,6.5,53.4,314
13,檸檬多多,30,660,22,0,68.9,363
14,檸檬蘆薈,35,660,0,0,68.9,275
15,蘋果牛奶,40,660,5.5,6.1,40.8,240
16,芋圓豆花,35,520,4.4,1.5,68.4,305
17,花豆豆花,35,520,5.5,1.4,44.8,214
18,珍珠豆花,35,520,4.1,1.4,56.4,255
19,紅豆豆花,35,520,8,1.5,47.1,234
20,綠豆豆花,35,520,8.6,1.6,49.1,245
21,芋圓嫩仙草,35,520,3.6,0.4,59.2,255
22,花豆嫩仙草,35,520,4.7,0.4,35.6,164
23,珍珠嫩仙草,35,520,3.3,0.4,47.2,205
24,紅豆嫩仙草,35,520,7.2,0.5,37.9,184
25,綠豆嫩仙草,35,520,7.8,0.6,39.9,196
26,紅豆薏仁湯,35,520,8.6,0.4,53.5,252
27,綠豆薏仁湯,35,520,9.5,0.6,56.5,269
28,薏仁湯,30,520,5.2,0.5,60.1,266
29,紅豆湯,30,520,12,0.3,47,239
30,綠豆湯,30,520,13.8,0.6,53,273
31,人氣八寶冰,45,850,17.2,14.4,92,566
32,仙草薏仁牛奶冰,45,850,3.4,6.3,86.9,418
33,紅豆牛奶冰,45,850,13.1,6.4,102.1,518
34,綠豆麥角牛奶冰,45,850,10.6,6.7,111.7,549
35,彎豆花生牛奶冰,45,850,20.6,26.7,70.2,604
36,香蕉,10,150,2.3,0.2,33,142
37,蘋果,20,200,0.4,0.2,27.8,115
38,芭樂,20,200,0.8,0.1,9.7,76
39,奇異果,20,200,2.2,0.6,28,112
