id,品項名稱,售價,一份(g),蛋白質(g),脂肪(g),醣類(g),熱量(大卡)
1,招牌鴨腿飯,85,450,26.3,25.85,100.1,738.25
2,招牌烤鴨飯,80,450,29,23.35,96.7,712.95
3,香蒜烤雞飯,80,450,29.6,16.95,96.7,657.75
4,黑胡椒牛肉飯,90,450,30.8,3.65,100.8,559.25
5,韓式泡菜牛肉飯,90,450,31,20.05,96.7,691.25
6,卡拉雞腿排飯,80,450,29,13.55,96.7,624.75
7,椒麻口水雞販,80,450,29.6,16.95,96.7,657.75
8,迷迭香烤雞飯,80,450,29.6,16.95,96.7,657.75
9,媽媽控肉飯,80,450,26.4,35.25,96.7,809.65
10,蜜汁叉燒飯,80,450,31.1,15.75,102.1,674.55
11,味噌燒肉飯,75,450,31.1,15.75,102.1,674.55
12,香腸飯,75,450,28.9,26.65,110,795.45
13,玫瑰油雞飯,80,450,29.6,16.95,96.7,657.75
14,紅麴炸肉飯,80,450,31.1,15.75,96.7,652.95
15,香滷豬排飯,80,450,29.9,24.65,96.7,728.85
16,酥炸豬排飯,80,450,29.9,24.65,96.7,728.25
17,蜜汁烤雞腿飯,80,450,29.6,16.95,96.7,657.75
18,香滷豬腳飯,70,450,32.6,19.55,96.7,693.15
19,香菇肉燥飯,60,450,30.6,15.95,96.7,652.75
